sentence_lengths_words,sentence_lengths_lemmas,sentence_lengths_lexical,L_lines_words,L_lines_lemmas,L_lines_lexical,L_closerange_words,L_closerange_lemmas,L_closerange_lexical,L_cliques_words,L_cliques_lemmas,L_cliques_lexical,L_dependency_words,L_dependency_lemmas,L_dependency_lexical,L_IFtrimmed_words,L_IFtrimmed_lemmas,L_IFtrimmed_lexical,average_k_lines_words,average_k_lines_lemmas,average_k_lines_lexical,average_k_closerange_words,average_k_closerange_lemmas,average_k_closerange_lexical,average_k_cliques_words,average_k_cliques_lemmas,average_k_cliques_lexical,average_k_dependency_words,average_k_dependency_lemmas,average_k_dependency_lexical,average_k_IFtrimmed_words,average_k_IFtrimmed_lemmas,average_k_IFtrimmed_lexical
14,14,8,2.4725274725274726,2.4725274725274726,1.9285714285714286,2.3626373626373627,2.9450549450549453,1.6071428571428572,1,1,1,2.4175824175824174,2.4175824175824174,2.1785714285714284,1.7362637362637363,1.956043956043956,2.2142857142857144,2.5714285714285716,2.5714285714285716,2.25,2.7142857142857144,2.4285714285714284,3.5,13,13,7,2.2857142857142856,2.2857142857142856,2,6.714285714285714,6.285714285714286,2.5
8,8,6,3,3,2.3333333333333335,2.357142857142857,1.5,1.9333333333333333,1,1,1,2.25,2.25,2.066666666666667,1.5357142857142858,1.5714285714285714,1.5333333333333334,1.75,1.75,1.6666666666666667,2,1.75,2,7,7,5,1.75,1.75,1.6666666666666667,3.75,3.75,3
28,28,17,5.301587301587301,5.301587301587301,6,3.3174603174603177,5.962962962962963,3.75,1,1,1,3.857142857142857,3.857142857142857,2.6315789473684212,2.113756613756614,2.2777777777777777,2.485294117647059,2.142857142857143,2.142857142857143,1.8823529411764706,2.7857142857142856,2.642857142857143,3.0588235294117645,27,27,16,2.2142857142857144,2.2142857142857144,1.8823529411764706,7.5,8.214285714285714,3.5294117647058822
21,21,14,5.076190476190476,5.076190476190476,4.208791208791209,3.357142857142857,4.180952380952381,2.89010989010989,1,1,1,3.5428571428571427,3.5428571428571427,3.208791208791209,2.1952380952380954,2.033333333333333,2.241758241758242,2.0952380952380953,2.0952380952380953,2,3.4285714285714284,2.9523809523809526,3.142857142857143,20,20,13,2.380952380952381,2.380952380952381,2.2857142857142856,6.857142857142857,6.857142857142857,4.285714285714286
15,15,10,3.419047619047619,3.419047619047619,3.6666666666666665,2.934065934065934,2.8351648351648353,2.111111111111111,1,1,1,2.8380952380952382,2.8380952380952382,2.9555555555555557,2.104761904761905,1.6952380952380952,2.022222222222222,2.1333333333333333,2.1333333333333333,1.8,2.4,2.533333333333333,3.4,14,14,9,2.1333333333333333,2.1333333333333333,1.8,5.066666666666666,8,3.8
18,18,12,4.718954248366013,4.718954248366013,4.333333333333333,4.189542483660131,4.279411764705882,2.5272727272727273,1,1,1,3.196078431372549,3.196078431372549,3,2.3006535947712417,1.7777777777777777,1.893939393939394,2.111111111111111,2.111111111111111,1.8333333333333333,2.7777777777777777,2.3333333333333335,2.6666666666666665,17,17,11,2.2222222222222223,2.2222222222222223,2,6.333333333333333,7.222222222222222,3.8333333333333335
20,18,12,2.8789473684210525,2.4379084967320264,2.227272727272727,2.526315789473684,2.6013071895424837,1.9090909090909092,1,1,1,2.6789473684210527,2.4444444444444446,2.1363636363636362,2.4,2.496732026143791,2.590909090909091,2.6,2.888888888888889,2.6666666666666665,3.2,3.111111111111111,3.6666666666666665,19,17,11,2.6,2.7777777777777777,2.6666666666666665,6.9,5.888888888888889,4
12,12,7,4.333333333333333,4.333333333333333,2.6666666666666665,2.8333333333333335,2.878787878787879,1.6666666666666667,1,1,1,2.6666666666666665,2.6666666666666665,2.0476190476190474,3.015151515151515,2.5454545454545454,2.4761904761904763,1.8333333333333333,1.8333333333333333,1.7142857142857142,2.8333333333333335,2.6666666666666665,2.857142857142857,11,11,6,2,2,2,2.8333333333333335,3.5,1.7142857142857142
19,17,10,4.380116959064328,3.4338235294117645,2.7111111111111112,2.864864864864865,3.463235294117647,2.1777777777777776,1,1,1,3.0994152046783627,3.014705882352941,1.3333333333333333,2.2046783625730995,2.2205882352941178,2.577777777777778,2.210526315789474,2.4705882352941178,2.2,2.4210526315789473,2.235294117647059,2.6,18,16,9,2.210526315789474,2.235294117647059,1.2,6.105263157894737,5.647058823529412,2.6
20,20,12,4.447368421052632,4.447368421052632,3.1666666666666665,2.5225225225225225,2.953216374269006,2.242424242424242,1,1,1,3.2421052631578946,3.2421052631578946,2.6,2.0473684210526315,1.9,2.0606060606060606,2.2,2.2,2.1666666666666665,2.7,2.9,3,19,19,11,2.3,2.3,2.1666666666666665,5.3,6.3,3.6666666666666665
20,20,15,4.668421052631579,4.668421052631579,3.5047619047619047,3.4842105263157896,3.463157894736842,2.704761904761905,1,1,1,3.0894736842105264,3.0894736842105264,2.4725274725274726,2.0894736842105264,1.8631578947368421,1.8666666666666667,2.1,2.1,2.1333333333333333,2.6,2.7,3.066666666666667,19,19,14,2.1,2.1,2,6.4,7.6,5.6
22,22,14,3.4718614718614718,3.4718614718614718,3.208791208791209,2.735930735930736,3.2857142857142856,2.2747252747252746,1,1,1,2.831168831168831,2.831168831168831,2.6153846153846154,2.051948051948052,1.9870129870129871,1.967032967032967,2.3636363636363638,2.3636363636363638,2.142857142857143,3.4545454545454546,3.1818181818181817,3.142857142857143,21,21,13,2.3636363636363638,2.3636363636363638,2,7.636363636363637,8.454545454545455,4.857142857142857
